source,target,weight,raw_count
AC,AT,1.2634273488075717e-05,46
Functional Analysis,KT,1.5092315835138562e-05,43
CA,Quantum Algebra,5.248202053446523e-06,18
Algebraic Geometry,CA,6.157906882076731e-06,19
Differential Geometry,CA,2.780978418055302e-06,43
GT,RT,6.390192332807607e-06,80
GR,AT,1.187587943760432e-05,62
MP,GT,3.8886722087011295e-06,205
Mathematical Physics,GT,3.8886722087011295e-06,205
AG,LO,2.306640346618845e-06,48
RT,LO,1.5294296680296434e-06,10
RT,NT,8.962690762724984e-06,110
Algebraic Geometry,KT,4.154204054503157e-05,52
KT,CT,0.00014084084983968117,94
CT,KT,0.00015582391897156213,104
OA,RT,1.21396873356084e-05,90
GR,OA,2.516372979451828e-05,152
CA,Exactly Solvable and Integrable Systems,6.188499748062918e-06,19
MG,SP,1.1709836932156551e-05,14
Quantum Algebra,AC,3.948341337698045e-06,11
QA,AC,7.923187126276199e-06,98
Algebraic Geometry,AC,1.5959653994701395e-05,40
AP,DS,4.533823975520648e-06,44
AP,SG,6.03336855032902e-06,36
CO,CV,4.490059786520565e-06,49
DS,CO,2.0447160818778674e-06,33
Algebraic Geometry,OA,8.605136970042253e-06,29
Exactly Solvable and Integrable Systems,OA,4.771248456799327e-06,16
SP,AP,2.6348183872382044e-05,100
Functional Analysis,Exactly Solvable and Integrable Systems,7.266790525074061e-06,33
OA,DS,2.2607468184124043e-05,164
AG,GR,5.722976462828553e-06,144
AT,GR,1.7239179828780466e-05,90
MP,Optimization and Control,4.710731748726492e-06,49
Mathematical Physics,Optimization and Control,4.710731748726492e-06,49
Exactly Solvable and Integrable Systems,AP,1.0253538808306972e-05,46
AP,Exactly Solvable and Integrable Systems,1.1145150878594535e-06,5
Quantum Algebra,AP,5.986093108490355e-07,3
QA,AP,1.3932714517061552e-06,31
Algebraic Geometry,AP,9.537447122618744e-06,43
AG,AP,2.882832561029882e-06,91
Differential Geometry,AC,1.035038439735285e-06,13
Exactly Solvable and Integrable Systems,CT,1.8800614780103309e-06,2
Algebraic Geometry,GT,1.7923338717363708e-05,102
SG,CV,1.5275816518284116e-05,59
LO,Mathematical Physics,1.4528240957268702e-06,40
LO,MP,1.4528240957268702e-06,40
IT,Mathematical Physics,1.4674388935734352e-06,21
IT,MP,1.4674388935734352e-06,21
CT,CO,1.4258109299664185e-05,57
Differential Geometry,MG,3.582825368314448e-05,255
Quantum Algebra,DS,3.751913475872695e-06,18
RT,MG,3.840805032734861e-06,12
CV,CO,5.956201757629322e-06,65
SP,MG,7.527752313529211e-06,9
CA,NT,1.852011470823248e-05,159
GT,CA,1.1418912985713455e-06,10
SG,CA,1.46934721311363e-06,6
GT,SP,3.966060541287943e-06,19
KT,SP,8.541103586504297e-06,9
AT,SP,4.07839657023162e-06,10
Functional Analysis,SP,2.3686714824447606e-05,91
DS,NT,7.99392461729086e-06,96
QA,MG,6.277675274120398e-06,44
Mathematical Physics,MG,1.1097301979857485e-05,146
MP,MG,1.1097301979857485e-05,146
OA,MG,3.476964065785836e-05,83
Functional Analysis,MG,1.701380500137812e-05,55
AG,MG,5.430551194912337e-06,54
SG,MG,1.0640437279410435e-05,20
MG,OA,3.1837261325267896e-05,76
CV,OA,6.5237157453956836e-06,32
CV,MG,1.2093752705977169e-05,25
Functional Analysis,CV,1.4151079027303e-05,94
CV,Functional Analysis,1.1742384724783342e-05,78
Quantum Algebra,CV,9.24780225979296e-06,30
Probability,OA,1.2232381104100408e-05,129
Probability,QA,1.2272384409317866e-06,38
CA,OA,6.170435131372421e-06,32
SP,Optimization and Control,3.1737434091928538e-06,3
SP,DS,7.706670894326129e-06,28
Functional Analysis,Optimization and Control,1.1346567604610463e-05,29
DS,Optimization and Control,8.27450162676702e-06,20
SG,GR,6.938294592419346e-06,33
RT,GT,6.470069736967702e-06,81
GR,RT,1.9352708810036087e-05,153
RT,OA,1.173503109108812e-05,87
AP,Optimization and Control,9.109228361226054e-06,23
Optimization and Control,AP,5.940801105147427e-06,15
Optimization and Control,Optimization and Control,0.0002464820648518166,155
AG,ST,1.2822134765765242e-06,21
GN,AG,9.878206108989979e-07,9
GN,ST,1.9760398580412964e-06,3
AC,ST,3.761918441608186e-06,11
CO,ST,5.144421046855387e-06,45
RT,ST,1.9432644510860904e-07,1
AT,AC,1.1535641010851743e-05,42
MG,CV,7.256251623586301e-06,15
RA,MG,5.8532816423527855e-06,12
RA,CV,4.272810398311385e-06,18
AP,MG,3.444440547703623e-06,11
AP,CV,5.485945008887231e-06,36
Probability,Functional Analysis,5.181668963756536e-06,74
RA,CA,4.714994310573532e-06,21
MG,CO,3.2009730958211295e-05,170
MG,AG,3.2181044117999038e-06,32
Exactly Solvable and Integrable Systems,SG,7.953141604550105e-06,21
CT,OA,2.4486615838388337e-05,44
AT,OA,5.923613976460784e-06,29
NT,OA,5.545365354263533e-06,52
LO,GN,0.00017625886413603868,340
CO,GN,3.370251977711126e-05,164
CA,LO,8.089693271627194e-06,37
CA,GN,1.997502123594445e-05,40
GN,LO,0.00013530459864560614,261
GN,CO,4.151164021327119e-05,202
OA,GT,6.481816414050069e-06,62
Functional Analysis,GT,2.316023400174026e-06,30
CA,AG,3.1940590871305066e-06,69
GT,KT,2.1110134102830558e-05,75
GR,KT,4.45713837453512e-06,10
OA,GR,2.6819238333631326e-05,162
Probability,GR,3.379015849184919e-06,38
CA,SG,9.7956480874242e-07,4
,CA,1.2257641904268798e-05,25
,NT,8.134843160223871e-06,30
AG,GN,8.780627652435538e-07,8
AC,GN,6.1476795583507e-07,1
Probability,GN,3.4380388051439935e-06,14
Probability,Optimization and Control,6.830245350950813e-06,24
Optimization and Control,MP,4.422319600845279e-06,46
Optimization and Control,Mathematical Physics,4.422319600845279e-06,46
OA,AP,5.674380304885774e-06,43
OA,SP,1.2337149624950651e-05,35
Functional Analysis,AP,6.041688429737892e-06,62
AP,SP,2.2132474452800917e-05,84
GT,MG,4.738211342583347e-05,191
AT,MG,1.7448868755910197e-05,36
Functional Analysis,IT,1.990732854173415e-06,7
NT,CV,2.339803505764537e-06,19
,CV,5.183775198331239e-06,10
CV,NT,3.324983929244342e-06,27
KT,Functional Analysis,1.0529522675678067e-05,30
AC,SG,4.220706787499473e-06,14
RT,SG,1.4903614726141797e-05,87
OA,CV,6.931447979482914e-06,34
CO,MG,3.426924137879092e-05,182
LO,GR,1.7645086725601257e-05,94
CT,GR,9.915509422343296e-06,19
CV,Quantum Algebra,3.08260075326432e-07,1
RA,AC,3.620905060422126e-05,131
ST,Optimization and Control,6.106702411231447e-06,8
CO,IT,4.1545168686367735e-06,24
GR,CO,1.0566490384865809e-05,142
GR,IT,1.4445867362379638e-06,4
GR,RA,1.1180352188804534e-05,58
,MP,5.701480886355477e-06,70
,Mathematical Physics,5.701480886355477e-06,70
Quantum Algebra,KT,4.096546252163264e-05,57
GT,Probability,7.300012370713271e-07,13
MG,QA,5.849651959975825e-06,41
Mathematical Physics,Algebraic Geometry,9.691137002957734e-07,18
MP,Algebraic Geometry,9.691137002957734e-07,18
Functional Analysis,Algebraic Geometry,2.191171856238091e-06,10
CV,CT,5.7838572544029615e-06,9
ST,Mathematical Physics,8.306688859678058e-07,18
ST,MP,8.306688859678058e-07,18
CT,RA,8.618343463666879e-05,133
GT,RA,5.599624873825844e-06,46
SP,AT,1.631358628092648e-06,4
SP,QA,2.0408908080198844e-06,17
Exactly Solvable and Integrable Systems,NT,3.2423902901218777e-06,18
